Year,PopulationGrowth
1981,2.6399420023461406
1982,2.6276864607963857
1983,2.671016632463008
1984,2.7537661806291913
1985,2.8712240544926715
1986,2.982532258283377
1987,3.0488522849536626
1988,3.0656136868826955
1989,2.9987202123183954
1990,2.919546563151676
1991,2.8567018175544856
1992,2.8263911058737268
1993,2.8249433196658513
1994,2.8274216424426957
1995,2.798475223193697
1996,2.7420473312460114
1997,2.707359559411393
1998,2.641815132801839
1999,2.558913941707641
2000,2.5772448097572287
2001,2.6034565038798974
2002,2.548274681080187
2003,2.472682447863095
2004,2.4003643417379594
2005,2.3300960986169628
2006,2.2600196207801293
2007,2.19993931966731
2008,2.110140464903254
2009,1.9986339070403147
2010,1.773836273785312
2011,1.6240907054948073
2012,1.6312939637439294
2013,1.600106567006332
2014,1.565140271182086
2015,1.5107072660708543
2016,1.4728103884687371
2017,1.4254331081951621
2018,1.3243294007975859
2019,1.249253416843854
2020,1.2070868143599478
